Salis,Regionas,Trukme,Kaina,Data,agentura,Keliones tipas
Žemieji Tatrai,Slovakija,4,429,2024-02-144,Baltictours,pazintine
Laplandija,+ Ekskursijos Helsinkyje,4,559,2024-02-144,Baltictours,pazintine
Italija,"Sorento, Kapri Sala ir kt.",3,699,2024-04-203,Baltictours,pazintine
Egiptas,Hurgada,7,1445,2024-02-247,Baltictours,pazintine
Venecija,Italija,4,489,2024-02-074,Baltictours,pazintine
Marokas,"Agadyras, Rabatas ir kt.",11,1689,2024-03-1211,Baltictours,pazintine
Bilundas,Danija,2,579,2024-02-112,Baltictours,pazintine
Italija,Venecija,3,93,2024-06-153,Baltictours,pazintine
Mombasa,Kenija,7,1099,2024-02-037,Baltictours,egzotine
Watamu pakrantė,Kenija,7,1099,2024-02-037,Baltictours,egzotine
Kenija,"Šiaurinė pakrantė, Malindi",7,1129,2024-02-037,Baltictours,egzotine
Galė,Šri Lanka,10,1681,2024-03-2010,Baltictours,egzotine
Puketas,Tailandas,14,2797,2024-02-0214,Baltictours,egzotine
Puketas,Tailandas,10,2700,2024-02-0510,Baltictours,egzotine
Zanzibaras,Tanzanija,11,1429,2024-03-1611,Baltictours,egzotine
Hikaduva,Šri Lanka,10,1165,2024-02-0710,Baltictours,egzotine
Mombasa,Kenija,7,1499,2024-02-037,Baltictours,egzotine
Kalutara,Šri Lanka,9,1119,2024-02-289,Baltictours,egzotine
Puketas,Tailandas,10,2212,2024-02-0310,Baltictours,egzotine
Koggala,Šri Lanka,9,1165,2024-02-289,Baltictours,egzotine
Agadyras,Marokas,7,1159,2024-03-097,Baltictours,egzotine
Poste Lafayette,Šiaurės Mauricijus,8,2009,2024-03-138,Baltictours,egzotine
Puketas,Tailandas,14,1789,2024-03-2914,Baltictours,egzotine
Krabi,Tailandas,14,2029,2024-03-2914,Baltictours,egzotine
Ahungalla,Šri Lanka,10,1875,2024-04-0410,Baltictours,egzotine
Trou D'eau Douce,Mauricijus,11,2479,2024-03-1711,Baltictours,egzotine
Pataja,Tailandas,13,1865,2024-02-2713,Baltictours,egzotine
Zanzibaras,Tanzanija,11,1499,2024-04-0611,Baltictours,egzotine
Pataja,Tailandas,13,1989,2024-02-2713,Baltictours,egzotine
Puketas,Tailandas,14,2525,2024-04-1214,Baltictours,egzotine
Punta Kana,Dominikos Respublika,12,2625,2024-03-1012,Baltictours,egzotine
Trou aux Biches,Šiaurės Mauricijus,11,2439,2024-03-3111,Baltictours,egzotine
Varaderas,Kuba,13,2015,2024-02-1813,Baltictours,egzotine
Evija,Graikija,7,539,2024-06-107,Baltictours,poilsine
Londonas,Jungtinė Karalystė,3,450,2024-03-083,Baltictours,poilsine
Larnaka,Kipras,3,369,2024-02-233,Baltictours,poilsine
Hurgada,Egiptas,7,596,2024-02-017,Baltictours,poilsine
Alanija,Turkija,7,456,2024-04-057,Baltictours,poilsine
Pafosas,Kipras,7,506,2024-02-027,Baltictours,poilsine
Mahdija,Tunisas,7,79,2024-05-027,Baltictours,poilsine
Hurgada,Egiptas,7,583,2024-02-087,Baltictours,poilsine
Kemeras,Turkija,7,05,2024-04-107,Baltictours,poilsine
Kemeras,Turkija,7,593,2024-04-157,Baltictours,poilsine
Londonas,Jungtinė Karalystė,2,408,2024-03-302,Baltictours,poilsine
Marsa Alamas,Egiptas,7,99,2024-02-107,Baltictours,poilsine
Alanija,Turkija,7,30,2024-04-077,Baltictours,poilsine
Alanija,Turkija,7,594,2024-04-057,Baltictours,poilsine
Kreta,Graikija,7,95,2024-06-017,Baltictours,poilsine
Šarm Aš Šeichas,Egiptas,7,85,2024-02-257,Baltictours,poilsine
Marsa Alamas,Egiptas,7,59,2024-02-247,Baltictours,poilsine
Val Rendena,Italija,7,95,2024-03-097,Baltictours,poilsine
Alanija,Turkija,7,50,2024-04-057,Baltictours,poilsine
Enfida,Tunisas,7,49,2024-04-267,Baltictours,poilsine
Monastyras,Tunisas,7,55,2024-04-237,Baltictours,poilsine
Sidė,Turkija,7,75,2024-04-057,Baltictours,poilsine
Saulėtas krantas,Bulgarija,7,86,2024-06-137,Baltictours,poilsine
Alanija,Turkija,7,45,2024-04-117,Baltictours,poilsine
Aja Napa,Kipras,7,566,2024-05-017,Baltictours,poilsine
