Salis,Regionas,Trukme,Kaina,Data,Reitingas,agentura,Keliones tipas
Egiptas,Hurgada,7,1385,2024-03-23,5,Baltictours,pazintine
Žemieji Tatrai,Slovakija,4,429,2024-02-14,,Baltictours,pazintine
Laplandija,+ Ekskursijos Helsinkyje,4,559,2024-02-14,,Baltictours,pazintine
Italija,"Sorento, Kapri Sala ir kt.",3,699,2024-04-20,3,Baltictours,pazintine
Venecija,Italija,4,489,2024-02-07,,Baltictours,pazintine
Marokas,"Agadyras, Rabatas ir kt.",11,1689,2024-03-12,3,Baltictours,pazintine
Bilundas,Danija,2,579,2024-02-11,3,Baltictours,pazintine
Italija,Venecija,3,729,2024-06-15,3,Baltictours,pazintine
Beruwela,Šri Lanka,10,1529,2024-03-09,5,Baltictours,egzotine
Pataja,Tailandas,13,1545,2024-03-05,3,Baltictours,egzotine
Beruwela,Šri Lanka,10,1545,2024-04-04,5,Baltictours,egzotine
Puketas,Tailandas,14,1725,2024-03-01,3,Baltictours,egzotine
Balio sala,Indonezija,13,1859,2024-03-18,4,Baltictours,egzotine
Pataja,Tailandas,13,1829,2024-03-12,4,Baltictours,egzotine
Galė,Šri Lanka,10,1681,2024-03-20,5,Baltictours,egzotine
Puketas,Tailandas,14,2797,2024-02-02,3,Baltictours,egzotine
Puketas,Tailandas,10,1,2024-02-05,3,Baltictours,egzotine
Zanzibaras,Tanzanija,11,1429,2024-03-16,4,Baltictours,egzotine
Hikaduva,Šri Lanka,10,1165,2024-02-07,3,Baltictours,egzotine
Kalutara,Šri Lanka,9,1119,2024-02-28,4,Baltictours,egzotine
Puketas,Tailandas,10,2212,2024-02-03,3,Baltictours,egzotine
Koggala,Šri Lanka,9,1165,2024-02-28,4,Baltictours,egzotine
Agadyras,Marokas,7,1159,2024-03-09,4,Baltictours,egzotine
Poste Lafayette,Šiaurės Mauricijus,8,2009,2024-03-13,4,Baltictours,egzotine
Puketas,Tailandas,14,1789,2024-03-29,4,Baltictours,egzotine
Krabi,Tailandas,14,2029,2024-03-29,4,Baltictours,egzotine
Ahungalla,Šri Lanka,10,1875,2024-04-04,5,Baltictours,egzotine
Trou D'eau Douce,Mauricijus,11,2479,2024-03-17,3,Baltictours,egzotine
Pataja,Tailandas,13,1865,2024-02-27,5,Baltictours,egzotine
Zanzibaras,Tanzanija,11,1499,2024-04-06,3,Baltictours,egzotine
Pataja,Tailandas,13,1989,2024-02-27,4,Baltictours,egzotine
Puketas,Tailandas,14,2525,2024-04-12,4,Baltictours,egzotine
Punta Kana,Dominikos Respublika,12,2625,2024-03-10,5,Baltictours,egzotine
Šarm Aš Šeichas,Egiptas,7,558,2024-02-07,5,Baltictours,poilsine
Enfida,Tunisas,7,650,2024-05-03,4,Baltictours,poilsine
Susas,Tunisas,7,629,2024-04-23,5,Baltictours,poilsine
St. Julian's,Malta,3,549,2024-03-08,4,Baltictours,poilsine
Sidė,Turkija,7,626,2024-04-05,5,Baltictours,poilsine
Hurgada,Egiptas,7,595,2024-02-03,4,Baltictours,poilsine
St. Julian's,Malta,7,493,2024-02-03,4,Baltictours,poilsine
Evija,Graikija,7,579,2024-06-10,3,Baltictours,poilsine
Londonas,Jungtinė Karalystė,3,450,2024-03-08,4,Baltictours,poilsine
Larnaka,Kipras,3,369,2024-02-23,4,Baltictours,poilsine
Alanija,Turkija,7,456,2024-04-05,5,Baltictours,poilsine
Pafosas,Kipras,7,506,2024-02-02,5,Baltictours,poilsine
Mahdija,Tunisas,7,514,2024-05-02,4,Baltictours,poilsine
Hurgada,Egiptas,7,583,2024-02-08,4,Baltictours,poilsine
Kemeras,Turkija,7,590,2024-04-10,4,Baltictours,poilsine
Kemeras,Turkija,7,593,2024-04-15,4,Baltictours,poilsine
Londonas,Jungtinė Karalystė,2,408,2024-03-30,4,Baltictours,poilsine
Enfida,Tunisas,7,576,2024-04-26,4,Baltictours,poilsine
Marsa Alamas,Egiptas,7,499,2024-02-10,4,Baltictours,poilsine
Alanija,Turkija,7,570,2024-04-07,5,Baltictours,poilsine
Alanija,Turkija,7,594,2024-04-05,5,Baltictours,poilsine
Kreta,Graikija,7,639,2024-06-01,4,Baltictours,poilsine
Šarm Aš Šeichas,Egiptas,7,659,2024-02-25,4,Baltictours,poilsine
Marsa Alamas,Egiptas,7,689,2024-02-24,5,Baltictours,poilsine
Val Rendena,Italija,7,675,2024-03-09,3,Baltictours,poilsine
Lenkija,Zakopanė,3,277,2024-03-08,3,Kelioniu panorama,pazintine
Lenkija,Varšuva,1,126,2024-02-17,3,Kelioniu panorama,pazintine
Lenkija,Varšuva,1,177,2024-02-16,5,Kelioniu panorama,pazintine
Estija,-,1,137,2024-04-06,3,Kelioniu panorama,pazintine
Turkija,KAPPADOKYA,5,931,2024-04-04,3,Kelioniu panorama,pazintine
Zanzibaras,Nungvis,8,788,2024-01-31,3,Kelioniu panorama,egzotine
Tailandas,Pataja,13,1375,2024-03-05,4,Kelioniu panorama,egzotine
Zanzibaras,Pongwe,8,927,2024-01-31,3,Kelioniu panorama,egzotine
Kenija,Mombasas,7,1099,2024-02-03,4,Kelioniu panorama,egzotine
Tailandas,Bankokas,13,1429,2024-03-05,4,Kelioniu panorama,egzotine
Šri Lanka,.,10,1344,2024-02-28,4,Kelioniu panorama,egzotine
Šri Lanka,.,10,1060,2024-02-28,3,Kelioniu panorama,egzotine
Šri Lanka,.,11,1544,2024-03-14,5,Kelioniu panorama,egzotine
Indonezija,Balio sala,13,1879,2024-06-19,4,Kelioniu panorama,egzotine
Indonezija,BALI-KUTA,13,1786,2024-02-19,4,Kelioniu panorama,egzotine
Šri Lanka,.,11,1284,2024-03-14,5,Kelioniu panorama,egzotine
Šri Lanka,.,7,1077,2024-02-01,3,Kelioniu panorama,egzotine
Kuba,Havana,13,1885,2024-02-18,3,Kelioniu panorama,egzotine
Vietnamas,Ho Chi Minis,12,1435,2024-03-17,3,Kelioniu panorama,egzotine
Indonezija,Denpasaras,13,1665,2024-02-19,4,Kelioniu panorama,egzotine
Indonezija,Denpasaras,12,1635,2024-02-05,4,Kelioniu panorama,egzotine
Meksika,Kankunas,12,Išparduota,Nenurodyta,3,Kelioniu panorama,egzotine
Šri Lanka,.,12,Išparduota,Nenurodyta,4,Kelioniu panorama,egzotine
Šri Lanka,.,12,Išparduota,Nenurodyta,2,Kelioniu panorama,egzotine
Turkija,Bodrumas,7,444,2024-06-12,4,Kelioniu panorama,poilsine
Turkija,Didim,7,866,2024-05-29,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,462,2024-03-20,4,Kelioniu panorama,poilsine
Egiptas,Šarm El Šeichas,7,573,Nenurodyta,5,Kelioniu panorama,poilsine
Turkija,Belekas,7,876,2024-04-14,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,758,2024-02-24,4,Kelioniu panorama,poilsine
Egiptas,Madinat Makadi,7,721,Nenurodyta,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,571,Nenurodyta,5,Kelioniu panorama,poilsine
Juodkalnija,Becici,7,523,Nenurodyta,4,Kelioniu panorama,poilsine
Turkija,Alanija,7,479,2024-03-27,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,627,2024-04-03,4,Kelioniu panorama,poilsine
Turkija,Sidė,7,713,2024-06-07,5,Kelioniu panorama,poilsine
Turkija,Alanija,7,644,2024-04-10,5,Kelioniu panorama,poilsine
Turkija,Alanija,7,664,2024-06-04,5,Kelioniu panorama,poilsine
Egiptas,Sahl Hasheesh,7,632,Nenurodyta,5,Kelioniu panorama,poilsine
Graikija,Kreta,7,581,Nenurodyta,4,Kelioniu panorama,poilsine
