,Salis,Miestas,Data,Keliones trukme,Kaina,Keliones tipas
0,Graikija,Evija,2024-06-10,7,539,poilsine
1,Jungtinė Karalystė,Londonas,2024-03-08,3,450,poilsine
2,Kipras,Larnaka,2024-02-23,3,369,poilsine
3,Egiptas,Hurgada,2024-02-01,7,596,poilsine
4,Turkija,Alanija,2024-04-05,7,456,poilsine
5,Kipras,Pafosas,2024-02-02,7,506,poilsine
6,Tunisas,Mahdija,2024-05-02,7,479,poilsine
7,Egiptas,Hurgada,2024-02-08,7,583,poilsine
8,Turkija,Kemeras,2024-04-10,7,505,poilsine
9,Turkija,Kemeras,2024-04-15,7,593,poilsine
10,Jungtinė Karalystė,Londonas,2024-03-30,2,408,poilsine
11,Egiptas,Marsa Alamas,2024-02-10,7,499,poilsine
12,Turkija,Alanija,2024-04-07,7,530,poilsine
13,Turkija,Alanija,2024-04-05,7,594,poilsine
14,Graikija,Kreta,2024-06-01,7,595,poilsine
15,Egiptas,Šarm Aš Šeichas,2024-02-25,7,585,poilsine
16,Egiptas,Marsa Alamas,2024-02-24,7,559,poilsine
17,Italija,Val Rendena,2024-03-09,7,595,poilsine
18,Turkija,Alanija,2024-04-05,7,350,poilsine
19,Tunisas,Enfida,2024-04-26,7,449,poilsine
20,Tunisas,Monastyras,2024-04-23,7,455,poilsine
21,Turkija,Sidė,2024-04-05,7,575,poilsine
22,Bulgarija,Saulėtas krantas,2024-06-13,7,486,poilsine
23,Turkija,Alanija,2024-04-11,7,545,poilsine
24,Kipras,Aja Napa,2024-05-01,7,566,poilsine
25,Egiptas,Šarm El Šeichas,2024-02-07,7,635,poilsine
26,Bulgarija,Saulėtasis Krantas,2024-06-03,7,613,poilsine
27,Egiptas,Hurgada,2024-02-08,7,637,poilsine
28,Italija,Roma,2024-03-09,3,616,poilsine
29,Tunisas,Enfida,2024-05-03,7,665,poilsine
30,Turkija,Kemeras,2024-04-11,7,654,poilsine
31,Graikija,Rodo sala,2024-05-04,7,604,poilsine
32,Egiptas,Šarm Aš Šeichas,2024-02-07,7,703,poilsine
