,Salis,Miestas,Data,Keliones trukme,Kaina,Reitingas,Keliones tipas,Agentura
0,Graikija,Evija,2024-06-10,7,539,3,poilsine,baltictours
1,Jungtinė Karalystė,Londonas,2024-03-08,3,450,4,poilsine,baltictours
2,Kipras,Larnaka,2024-02-23,3,369,4,poilsine,baltictours
3,Egiptas,Hurgada,2024-02-01,7,596,4,poilsine,baltictours
4,Turkija,Alanija,2024-04-05,7,456,5,poilsine,baltictours
5,Kipras,Pafosas,2024-02-02,7,506,5,poilsine,baltictours
6,Tunisas,Mahdija,2024-05-02,7,479,4,poilsine,baltictours
7,Egiptas,Hurgada,2024-02-08,7,583,4,poilsine,baltictours
8,Turkija,Kemeras,2024-04-10,7,505,4,poilsine,baltictours
9,Turkija,Kemeras,2024-04-15,7,593,4,poilsine,baltictours
10,Jungtinė Karalystė,Londonas,2024-03-30,2,408,4,poilsine,baltictours
11,Egiptas,Marsa Alamas,2024-02-10,7,499,4,poilsine,baltictours
12,Turkija,Alanija,2024-04-07,7,530,5,poilsine,baltictours
13,Turkija,Alanija,2024-04-05,7,594,5,poilsine,baltictours
14,Graikija,Kreta,2024-06-01,7,595,4,poilsine,baltictours
15,Egiptas,Šarm Aš Šeichas,2024-02-25,7,585,4,poilsine,baltictours
16,Egiptas,Marsa Alamas,2024-02-24,7,559,5,poilsine,baltictours
17,Italija,Val Rendena,2024-03-09,7,595,3,poilsine,baltictours
18,Turkija,Alanija,2024-04-05,7,350,4,poilsine,baltictours
19,Tunisas,Enfida,2024-04-26,7,449,4,poilsine,baltictours
20,Tunisas,Monastyras,2024-04-23,7,455,4,poilsine,baltictours
21,Turkija,Sidė,2024-04-05,7,575,5,poilsine,baltictours
22,Bulgarija,Saulėtas krantas,2024-06-13,7,486,4,poilsine,baltictours
23,Turkija,Alanija,2024-04-11,7,545,5,poilsine,baltictours
24,Kipras,Aja Napa,2024-05-01,7,566,4,poilsine,baltictours
25,Egiptas,Šarm El Šeichas,2024-02-07,7,635,5,poilsine,baltictours
26,Bulgarija,Saulėtasis Krantas,2024-06-03,7,613,4,poilsine,baltictours
27,Egiptas,Hurgada,2024-02-08,7,637,4,poilsine,baltictours
28,Italija,Roma,2024-03-09,3,616,4,poilsine,baltictours
29,Tunisas,Enfida,2024-05-03,7,665,5,poilsine,baltictours
30,Turkija,Kemeras,2024-04-11,7,654,5,poilsine,baltictours
31,Graikija,Rodo sala,2024-05-04,7,604,4,poilsine,baltictours
32,Egiptas,Šarm Aš Šeichas,2024-02-07,7,703,5,poilsine,baltictours
33,Turkija,Antalija,2024-04-16,7,777,5,poilsine,baltictours
34,Turkija,Sidė,2024-04-05,7,611,5,poilsine,baltictours
35,Graikija,Kreta,2024-06-15,7,708,4,poilsine,baltictours
36,Egiptas,Hurgada,2024-03-03,7,690,5,poilsine,baltictours
37,Ispanija,Kosta Del Sol,2024-02-12,7,746,4,poilsine,baltictours
38,Portugalija,Madeira,2024-03-05,7,719,4,poilsine,baltictours
39,Graikija,Kreta,2024-05-04,7,610,4,poilsine,baltictours
40,Turkija,Didimas,2024-10-11,6,654,5,poilsine,baltictours
41,Graikija,Kreta,2024-05-04,7,712,4,poilsine,baltictours
42,Turkija,Alanija,2024-04-09,7,675,5,poilsine,baltictours
43,Egiptas,Marsa Alamas,2024-02-10,7,699,5,poilsine,baltictours
44,Egiptas,Makadi Bėjus,2024-02-06,7,749,5,poilsine,baltictours
45,Egiptas,Hurgada,2024-02-03,7,685,4,poilsine,baltictours
46,Albanija,Golemas,2024-06-01,7,629,5,poilsine,baltictours
47,Egiptas,Marsa Alamas,2024-02-01,7,732,5,poilsine,baltictours
48,Turkija,Sidė,2024-04-08,7,674,4,poilsine,baltictours
49,Turkija,Sidė,2024-04-05,7,692,5,poilsine,baltictours
50,Šri Lanka,Beruwela,2024-03-09,10,1529,5,poilsine,baltictours
51,Tailandas,Pataja,2024-03-05,13,1375,3,poilsine,baltictours
52,Šri Lanka,Beruwela,2024-04-04,10,1545,5,poilsine,baltictours
53,Graikija,Zakintas,2024-06-11,7,1179,5,poilsine,baltictours
54,Tailandas,Puketas,2024-03-01,14,1625,3,poilsine,baltictours
55,Indonezija,Balio sala,2024-03-18,13,1769,4,poilsine,baltictours
56,Egiptas,Sal Hašišas,2024-02-06,7,1467,5,poilsine,baltictours
57,Tailandas,Pataja,2024-03-12,13,1629,4,poilsine,baltictours
58,Graikija,Rodas,2024-06-01,7,1228,5,poilsine,baltictours
59,Šri Lanka,Galė,2024-03-20,10,1681,5,poilsine,baltictours
60,Graikija,Zakintas,2024-05-28,7,1039,4,poilsine,baltictours
61,Kroatija,Dubrovnikas,2024-05-20,7,1119,4,poilsine,baltictours
62,Ispanija,Tenerifė,2024-03-06,7,1265,4,poilsine,baltictours
63,Ispanija,Tenerifė,2024-02-21,7,1305,4,poilsine,baltictours
64,Ispanija,Tenerifė,2024-04-23,7,1209,4,poilsine,baltictours
65,Turkija,Sidė,2024-04-17,7,1141,5,poilsine,baltictours
66,Ispanija,Tenerifė,2024-03-22,7,1135,3,poilsine,baltictours
67,Tanzanija,Zanzibaras,2024-03-16,11,1429,4,poilsine,baltictours
68,Šri Lanka,Hikaduva,2024-02-07,10,1165,3,poilsine,baltictours
69,Ispanija,Tenerifė,2024-04-23,7,1369,4,poilsine,baltictours
70,Ispanija,Tenerifė,2024-04-09,7,1549,5,poilsine,baltictours
71,Portugalija,Madeira,2024-03-11,7,1041,4,poilsine,baltictours
72,Ispanija,Tenerifė,2024-02-09,7,1425,4,poilsine,baltictours
73,Šri Lanka,Kalutara,2024-02-28,9,1119,4,poilsine,baltictours
74,Graikija,Kreta,2024-04-30,7,1116,5,poilsine,baltictours
75,Tailandas,Puketas,2024-02-02,14,2797,3,poilsine,baltictours
76,Tailandas,Puketas,2024-02-05,10,2700,3,poilsine,baltictours
77,Tailandas,Puketas,2024-02-03,10,2212,3,poilsine,baltictours
78,Šiaurės Mauricijus,Poste Lafayette,2024-03-13,8,2009,4,poilsine,baltictours
79,Ispanija,Tenerifė,2024-02-02,7,18035,5,poilsine,baltictours
80,Tailandas,Krabi,2024-03-29,14,2029,4,poilsine,baltictours
81,Mauricijus,Trou D'eau Douce,2024-03-17,11,2479,3,poilsine,baltictours
82,Tailandas,Puketas,2024-04-12,14,2525,4,poilsine,baltictours
83,Dominikos Respublika,Punta Kana,2024-03-10,12,2625,5,poilsine,baltictours
84,Šiaurės Mauricijus,Trou aux Biches,2024-03-31,11,2439,3,poilsine,baltictours
85,Kuba,Varaderas,2024-02-18,13,2015,4,poilsine,baltictours
86,Kuba,Varaderas,2024-03-17,13,2025,3,poilsine,baltictours
87,Tailandas,Pataja,2024-03-05,13,2005,4,poilsine,baltictours
88,Kuba,Varaderas,2024-03-17,13,2089,3,poilsine,baltictours
89,Mauricijus,Bel Maras,2024-02-18,10,2339,4,poilsine,baltictours
90,Šri Lanka,Kolombas,2024-03-25,12,2069,4,poilsine,baltictours
91,Mauricijus,Bel Maras,2024-03-17,11,2219,4,poilsine,baltictours
92,Mauricijus,Mon Šuazi,2024-03-17,11,2035,3,poilsine,baltictours
93,Kuba,Varaderas,2024-02-18,13,2175,5,poilsine,baltictours
94,Seišeliai,Mahė sala,2024-02-09,10,2429,4,poilsine,baltictours
95,Mauricijus,Flik an Flak,2024-03-18,10,2349,4,poilsine,baltictours
96,Mauricijus,Flik an Flak,2024-02-18,10,2875,5,poilsine,baltictours
