Salis,Regionas,Trukme,Kaina,Reitingas,Data,Agentura,Keliones tipas
Beruwela,Šri Lanka,10,1529,5,2024-03-0910,Baltictours,egzotine
Pataja,Tailandas,13,1375,3,2024-03-0513,Baltictours,egzotine
Beruwela,Šri Lanka,10,1545,5,2024-04-0410,Baltictours,egzotine
Puketas,Tailandas,14,1625,3,2024-03-0114,Baltictours,egzotine
Balio sala,Indonezija,13,1769,4,2024-03-1813,Baltictours,egzotine
Pataja,Tailandas,13,1629,4,2024-03-1213,Baltictours,egzotine
Galė,Šri Lanka,10,1681,5,2024-03-2010,Baltictours,egzotine
Puketas,Tailandas,14,2797,3,2024-02-0214,Baltictours,egzotine
Puketas,Tailandas,10,0,3,2024-02-0510,Baltictours,egzotine
Zanzibaras,Tanzanija,11,1429,4,2024-03-1611,Baltictours,egzotine
Hikaduva,Šri Lanka,10,1165,3,2024-02-0710,Baltictours,egzotine
Kalutara,Šri Lanka,9,1119,4,2024-02-289,Baltictours,egzotine
Puketas,Tailandas,10,2212,3,2024-02-0310,Baltictours,egzotine
Koggala,Šri Lanka,9,1165,4,2024-02-289,Baltictours,egzotine
Agadyras,Marokas,7,1159,4,2024-03-097,Baltictours,egzotine
Poste Lafayette,Šiaurės Mauricijus,8,2009,4,2024-03-138,Baltictours,egzotine
Puketas,Tailandas,14,1789,4,2024-03-2914,Baltictours,egzotine
Krabi,Tailandas,14,2029,4,2024-03-2914,Baltictours,egzotine
Ahungalla,Šri Lanka,10,1875,5,2024-04-0410,Baltictours,egzotine
Trou D'eau Douce,Mauricijus,11,2479,3,2024-03-1711,Baltictours,egzotine
Pataja,Tailandas,13,1865,5,2024-02-2713,Baltictours,egzotine
Zanzibaras,Tanzanija,11,1499,3,2024-04-0611,Baltictours,egzotine
Pataja,Tailandas,13,1989,4,2024-02-2713,Baltictours,egzotine
Puketas,Tailandas,14,2525,4,2024-04-1214,Baltictours,egzotine
Punta Kana,Dominikos Respublika,12,2625,5,2024-03-1012,Baltictours,egzotine
Trou aux Biches,Šiaurės Mauricijus,11,2439,3,2024-03-3111,Baltictours,egzotine
Varaderas,Kuba,13,2015,4,2024-02-1813,Baltictours,egzotine
Pataja,Tailandas,13,1745,4,2024-02-2713,Baltictours,egzotine
Varaderas,Kuba,13,2025,3,2024-03-1713,Baltictours,egzotine
Zanzibaras,Tanzanija,11,1655,4,2024-04-0611,Baltictours,egzotine
Pataja,Tailandas,13,2005,4,2024-03-0513,Baltictours,egzotine
Varaderas,Kuba,13,2089,3,2024-03-1713,Baltictours,egzotine
Puketas,Tailandas,14,1709,3,2024-03-2914,Baltictours,egzotine
Grand Bė,Mauricijus,11,1899,3,2024-03-1711,Baltictours,egzotine
Bel Maras,Mauricijus,10,2339,4,2024-02-1810,Baltictours,egzotine
Kolombas,Šri Lanka,12,2069,4,2024-03-2512,Baltictours,egzotine
Bel Maras,Mauricijus,11,2219,4,2024-03-1711,Baltictours,egzotine
Mon Šuazi,Mauricijus,11,2035,3,2024-03-1711,Baltictours,egzotine
Kolombas,Šri Lanka,13,1805,4,2024-03-0613,Baltictours,egzotine
Mahė sala,Seišeliai,10,1575,2,2024-02-2310,Baltictours,egzotine
Varaderas,Kuba,13,2175,5,2024-02-1813,Baltictours,egzotine
Mahė sala,Seišeliai,10,2429,4,2024-02-0910,Baltictours,egzotine
Hikaduva,Šri Lanka,12,1729,3,2024-02-1212,Baltictours,egzotine
Flik an Flak,Mauricijus,10,2349,4,2024-03-1810,Baltictours,egzotine
Flik an Flak,Mauricijus,10,2875,5,2024-02-1810,Baltictours,egzotine
Mahė sala,Seišeliai,10,2349,4,2024-02-2310,Baltictours,egzotine
Bel Maras,Mauricijus,10,2449,4,2024-02-1810,Baltictours,egzotine
Mauricijus,Afrika,11,2259,3,2024-03-1711,Baltictours,egzotine
